,tic,datadate,open,high,low,volume,adjcp,macd,rsi,cci,adx,turbulence
2016,TSLA,20180702,72.014,72.956001,65.970001,93799000,67.014,2.031094851276549,53.74466523962714,51.98189791998348,12.259247632680983,2.3337580154721222
2017,TSLA,20180703,66.349998,66.498001,61.938,61413000,62.172001,1.3979990580597956,48.40948247315636,-12.467995076378553,6.310950279453486,1.7186176217089646
2018,TSLA,20180705,62.751999,62.877998,59.243999,87382000,61.832001,0.8589297151343089,48.06290412561181,-44.203876273995505,16.21069122291268,1.67690185159659
2019,TSLA,20180706,60.990002000000004,62.414001,60.400002,44327500,61.779999,0.4226452588236356,48.00852230883263,-45.94197758127673,16.210691222912672,1.6686989617515213
2020,TSLA,20180709,62.397999,63.703998999999996,61.599998,37984000,63.702,0.2293324995053041,50.16447658787401,-31.000205735750363,9.85900087797258,1.8944850650740468
2021,TSLA,20180710,64.912003,65.53600300000001,63.84,47357500,64.494003,0.13844288466040666,51.03010799641796,-12.95388663867209,1.4419151709488218,1.9898816243483837
2022,TSLA,20180711,63.16,64.388,63.014,24420500,63.792,0.00965513645246574,50.230101640742085,-32.385128419340795,4.951756827507333,1.8999437090113076
2023,TSLA,20180712,64.28600300000001,64.646004,62.554001,28606000,63.341999,-0.12725449119137977,49.71328418689868,-41.035609167766125,6.9249476804534345,1.8425303905716548
2024,TSLA,20180713,63.116001000000004,63.916,61.849998,29349000,63.773998,-0.19860821665376704,50.221916336905196,-53.00544740633892,9.98222334827346,1.8923857648512294
2025,TSLA,20180716,62.341999,63.032001,61.25,39093500,62.02,-0.3921688594900701,48.175263224593905,-78.24744898275888,12.59777200283876,1.6815394801246801
2026,TSLA,20180717,61.762001,64.947998,61.700001,34981000,64.538002,-0.33848351858415526,51.13272612732816,-52.45376893921491,2.4375665061156666,1.9816759268584219
2027,TSLA,20180718,65.0,65.099998,63.25,28121000,64.769997,-0.27405826837485847,51.397082843446434,-46.41704540253633,1.659648617914366,2.0078512827753103
2028,TSLA,20180719,63.265999,64.708,62.801998,29576500,64.045998,-0.27821437982484554,50.514868606128246,-58.96440315832259,3.9575831235328636,1.9148913245771724
2029,TSLA,20180720,64.246002,64.648003,62.341999,25811000,62.716,-0.3843967648090256,48.91916969960211,-71.02295220011226,6.359242648599664,1.7523758202552748
2030,TSLA,20180723,60.368,61.099998,58.571999,54964500,60.639998999999996,-0.6288144195423939,46.545037326631906,-129.1523799914381,23.187159027382435,1.5147566091300335
2031,TSLA,20180724,60.883998999999996,61.543999,58.509997999999996,47954000,59.486,-0.905200657073749,45.28133097739767,-122.65367763293936,20.46181627707722,1.3895482187142791
2032,TSLA,20180725,59.348,61.924,58.900002,35377000,61.748001,-0.9309823798453394,48.136583500768026,-96.22204620201262,18.071986077500075,1.634437588921485
2033,TSLA,20180726,60.970001,62.139998999999996,60.728001,23152500,61.330002,-0.9739168990556095,47.661161443131796,-80.84096158583665,16.66564289107732,1.585286669958314
2034,TSLA,20180727,61.450001,61.537997999999995,59.068001,28516500,59.436001,-1.147544685912031,45.552325312470266,-101.32163780751851,24.093187100149784,1.3789336504395462
2035,TSLA,20180730,59.18,59.220001,57.226002,34070500,58.034,-1.3823409555469794,44.05949945946647,-131.00516456237295,31.350918402094578,1.2352518995320865
2036,TSLA,20180731,58.450001,59.664001,57.813999,25384500,59.627998,-1.423388437961293,46.135667880993516,-112.3654442920934,28.19271036555101,1.3959291477448763
2037,TSLA,20180801,59.598,60.599998,58.599998,50647000,60.167999,-1.3962501926965913,46.82726831027258,-94.06576528508725,21.603852527889277,1.4514074768165282
2038,TSLA,20180802,65.688004,69.998001,64.63200400000001,116075000,69.907997,-0.5820964541821212,57.10406326545085,97.48639452086138,21.62984190417066,2.6759983805446925
2039,TSLA,20180803,69.561996,71.0,68.505997,68282500,69.634003,0.040549790570615585,56.78468498244195,135.54499347595825,24.681744521976487,2.631635246693807
2040,TSLA,20180806,69.092003,70.996002,68.363998,42821500,68.398003,0.4293176485327663,55.34030781211032,121.15859483828514,23.950521257915906,2.4524628373073565
2041,TSLA,20180807,68.76799799999999,77.491997,67.83000200000001,154379000,75.914001,1.3285821338474761,61.50052034857384,198.2151891831647,40.90007145990991,3.600689290197658
2042,TSLA,20180808,73.818001,76.528,73.42400400000001,122856000,74.068001,1.8707342846342385,59.418106346966084,193.67159946688506,40.90007145990992,3.289567399320087
2043,TSLA,20180809,73.110001,73.402,69.146004,85919000,70.489998,1.9887537157676576,55.64054178500562,119.94637064132785,20.66256584321216,2.7342453306065395
2044,TSLA,20180810,70.800003,72.0,69.199997,57760000,71.098,2.1070568060770967,56.130817291065114,114.2513119210531,20.662565843212167,2.8187959058090795
2045,TSLA,20180813,72.225998,72.638,69.804001,52319500,71.281998,2.1904102722047014,56.28208448866257,118.92359461280647,22.558089111729757,2.8408826859921636
2046,TSLA,20180814,71.690002,71.839996,69.41999799999999,34932000,69.528,2.0908336855844,54.43122860810279,98.45499540592166,20.702655463370405,2.580623663274971
2047,TSLA,20180815,68.38200400000001,68.898003,66.428001,45506500,67.737999,1.8461985742940215,52.60491161038605,49.3582945837936,7.187036390747359,2.3286427236637226
2048,TSLA,20180816,67.98200200000001,68.456001,66.764,30320000,67.089996,1.5818010418096122,51.952114457313655,41.30427836303379,7.187036390747361,2.2384525771787493
2049,TSLA,20180817,64.699997,65.353996,60.706001,94793000,61.099998,0.8787911569080507,46.44114739563177,-45.080275801471444,14.867984327013067,1.5144679947605775
2050,TSLA,20180820,58.34,61.700001,57.639998999999996,87011500,61.688,0.36489136495487173,47.01193954738089,-77.14277471087819,23.395568822611494,1.5771011570678928
2051,TSLA,20180821,62.122002,64.958,61.799999,65861000,64.379997,0.172851216103183,49.55794051071025,-19.99195178279958,10.789649790074314,1.8873241834206649
2052,TSLA,20180822,64.17400400000001,64.77600100000001,62.933997999999995,29730000,64.32800300000001,0.016274926078608587,49.51040928955645,-15.17016798447514,10.789649790074332,1.8783792691195598
2053,TSLA,20180823,63.827999,65.46399699999999,63.619999,25736500,64.019997,-0.131154553867475,49.22111068735909,-9.75943595840148,8.124261641952755,1.8387282621550831
2054,TSLA,20180824,64.139999,64.769997,63.880001,18013000,64.564003,-0.2017708523566597,49.757510648444764,-9.9038993182164,8.124261641952751,1.9017646614235464
2055,TSLA,20180827,63.599998,64.487999,61.762001,65396500,63.854,-0.3114360451632052,49.057839907393365,-28.388025513810195,15.293080325902023,1.8138045011054418
2056,TSLA,20180828,63.681999,63.776001,62.237999,38245500,62.372002,-0.5120290019755913,47.612187466627816,-37.40825013044526,15.293080325902016,1.6397897151166525
2057,TSLA,20180829,62.054001,62.369999,60.737999,37237000,61.001999,-0.7726416262362648,46.307215165299006,-58.7866275946762,20.32421344554864,1.4868259543673632
2058,TSLA,20180830,60.452,60.919998,59.543999,36083500,60.630001,-0.9976953275660279,45.953426914340874,-72.05544103006632,24.15720626226709,1.4453540598001662
2059,TSLA,20180831,60.400002,61.062,59.720001,26875500,60.332001,-1.1864217849888803,45.66431194642771,-69.2056252081314,23.4024801701892,1.412264278289164
